Category,Prime,Split,Rider,Time (ms),Position
A,Fastest time,1_Innsbruck Sprint Forward,Curt Johnson 3673,21967,1
A,Fastest time,1_Innsbruck Sprint Forward,Christopher Sherriff,22483,2
A,Fastest time,1_Innsbruck Sprint Forward,Mark Elson,22856,3
A,Fastest time,1_Innsbruck Sprint Forward,Jacob Potts,22907,4
A,Fastest time,1_Innsbruck Sprint Forward,Peter Moore,22916,5
A,Fastest time,1_Innsbruck Sprint Forward,Sam Dick,22964,6
A,Fastest time,1_Innsbruck Sprint Forward,Rob Nytko,23067,7
A,Fastest time,1_Innsbruck Sprint Forward,Craig Michie (Herd of Dire Wolves),23100,8
A,Fastest time,1_Innsbruck Sprint Forward,Jesse Bartholomew 2610,23209,9
A,Fastest time,1_Innsbruck Sprint Forward,Mike Little,23249,10
A,First over line,1_Innsbruck Sprint Forward,Jeff Cummings (CISRACING),0,1
A,First over line,1_Innsbruck Sprint Forward,Masato Hatanaka(USAC#570930),185,2
A,First over line,1_Innsbruck Sprint Forward,Travis Keeney,313,3
A,First over line,1_Innsbruck Sprint Forward,Lloyd Jones (ATP Racing),465,4
A,First over line,1_Innsbruck Sprint Forward,Louis FL- Team QC,487,5
A,First over line,1_Innsbruck Sprint Forward,Carlos Rodriguez,533,6
A,First over line,1_Innsbruck Sprint Forward,Eric Loiselle (Cannondale Echelon 4iiii),672,7
A,First over line,1_Innsbruck Sprint Forward,Jesse Bartholomew 2610,4619,8
A,First over line,1_Innsbruck Sprint Forward,Mark Coupe (KamZ),4646,9
A,First over line,1_Innsbruck Sprint Forward,Cary Newell (PDX Fruit Bats),4651,10
A,Fastest time,2_Innsbruck Sprint Forward,Tony Roelofs 9540,20033,1
A,Fastest time,2_Innsbruck Sprint Forward,Graham Prossor (THB),22202,2
A,Fastest time,2_Innsbruck Sprint Forward,"Keith Moore [Rando,HERD]",22569,3
A,Fastest time,2_Innsbruck Sprint Forward,Eric Loiselle (Cannondale Echelon 4iiii),22725,4
A,Fastest time,2_Innsbruck Sprint Forward,Jeff Cummings (CISRACING),22755,5
A,Fastest time,2_Innsbruck Sprint Forward,Travis Keeney,22819,6
A,Fastest time,2_Innsbruck Sprint Forward,Masato Hatanaka(USAC#570930),22855,7
A,Fastest time,2_Innsbruck Sprint Forward,Louis FL- Team QC,22896,8
A,Fastest time,2_Innsbruck Sprint Forward,Mark Coupe (KamZ),23057,9
A,Fastest time,2_Innsbruck Sprint Forward,Deni Salman ZID,23228,10
A,First over line,2_Innsbruck Sprint Forward,Jeff Cummings (CISRACING),0,1
A,First over line,2_Innsbruck Sprint Forward,Eric Loiselle (Cannondale Echelon 4iiii),74,2
A,First over line,2_Innsbruck Sprint Forward,Travis Keeney,119,3
A,First over line,2_Innsbruck Sprint Forward,Masato Hatanaka(USAC#570930),384,4
A,First over line,2_Innsbruck Sprint Forward,Louis FL- Team QC,472,5
A,First over line,2_Innsbruck Sprint Forward,Carlos Rodriguez,477,6
A,First over line,2_Innsbruck Sprint Forward,Mark Coupe (KamZ),602,7
A,First over line,2_Innsbruck Sprint Forward,Jesse Bartholomew 2610,13679,8
A,First over line,2_Innsbruck Sprint Forward,Michael Casper,13684,9
A,First over line,2_Innsbruck Sprint Forward,Lloyd Jones (ATP Racing),15179,10
A,Fastest time,3_Innsbruck Sprint Forward,Peerapong Ladngern (EVO Warriors),22071,1
A,Fastest time,3_Innsbruck Sprint Forward,Graham Prossor (THB),22482,2
A,Fastest time,3_Innsbruck Sprint Forward,Scott Hinze,22919,3
A,Fastest time,3_Innsbruck Sprint Forward,Oasis Li,23073,4
A,Fastest time,3_Innsbruck Sprint Forward,Mark Coupe (KamZ),23324,5
